ID,REGION,PEOPL,HHINC,AVG_EDU_LVL,AVG_AGE,CHLDRN_LT_20,OTHR_INCM_SRC,RSDNC,NUM_YEARS_US,NUM_IN_ARMY,TOTAL_NUM_JOBS_HHLD,OWNS_HOUSE
16294,7,3,"$125,000",9,52,1,0,0,52,1,2,1
16295,7,2,"$23,000",5,25,0,0,0,25,0,2,0
16300,7,1,"$6,000",1,75,0,0,0,75,0,0,0
16310,7,2,"$25,609",8,42,0,0,0,42,0,1,0
16312,7,4,"$80,000",6,33,2,0,0,33,0,3,1
16314,7,3,"$82,400",3,35,1,2,0,35,0,4,1
16315,7,2,"$82,700",5,58,0,0,0,58,1,1,1
16316,7,4,"$120,000",5,31,1,2,0,31,0,4,1
16324,7,2,"$67,888",6,59,0,2,0,59,1,5,1
16333,7,5,"$82,000",5,30,3,0,0,30,0,3,1
16339,7,3,"$90,000",9,34,1,0,0,34,0,2,1
16340,7,5,"$16,960",3,25,3,0,0,25,0,0,0
16347,7,1,"$16,909",6,76,0,0,0,76,0,1,1
16354,7,1,"$45,000",9,56,0,0,0,56,0,1,1
16355,7,5,"$30,000",4,38,3,0,1,38,0,2,1
16359,7,2,"$58,000",3,40,0,0,0,40,0,2,1
16360,7,4,"$11,000",7,29,3,0,0,29,0,0,0
16364,7,2,"$39,295",6,69,0,0,0,69,1,2,1
16370,7,4,"$108,000",9,57,2,0,0,57,1,2,1
16372,7,2,"$18,600",6,26,1,0,0,26,0,1,0
16373,7,4,"$154,835",10,49,2,0,0,49,0,1,1
16376,7,2,"$75,000",7,44,0,0,0,44,0,3,1
16380,6,2,"$15,000",6,21,1,0,1,21,0,1,0
16385,7,4,"$58,203",4,33,2,0,0,33,0,3,1
16387,7,2,"$45,000",8,64,0,0,0,64,0,1,1
16395,7,2,"$680,000",5,53,0,0,0,53,0,2,1
16396,7,4,"$71,555",7,37,2,0,0,37,1,1,1
16398,7,4,"$244,000",6,37,3,1,0,37,0,1,1
16401,7,5,"$86,852",10,44,3,1,0,44,1,2,1
16404,7,5,"$34,000",5,44,3,0,0,44,0,2,1
16408,7,2,"$182,515",5,46,0,0,0,46,1,2,0
16410,7,4,"$3,640",6,27,3,0,0,27,0,1,0
16411,7,1,"$12,000",6,83,0,0,0,83,0,0,1
16413,7,7,"$52,415",7,44,5,0,0,44,1,2,0
16415,7,2,"$19,000",3,20,2,0,0,20,0,2,0
16416,7,2,"$64,000",5,54,0,0,0,54,1,2,1
16417,7,2,"$5,270",6,25,1,0,0,25,0,1,0
16418,7,1,"$32,711",11,37,0,0,0,37,0,3,0
16425,7,4,"$52,000",5,28,2,0,1,28,0,2,0
16430,7,6,"$64,000",4,36,4,0,0,36,0,3,1
16440,7,2,"$15,000",4,58,0,0,0,58,0,0,1
16446,7,2,"$8,000",2,61,0,0,0,61,0,1,1
16459,7,5,"$49,200",6,31,3,0,0,31,0,3,1
16461,7,3,"$58,000",4,23,1,0,0,23,1,3,0
16462,7,1,"$20,000",8,68,0,0,0,68,0,1,0
16468,7,2,"$54,000",7,51,0,0,0,51,0,1,0
16469,7,4,"$50,000",5,29,2,0,0,29,0,1,1
16487,7,1,"$36,800",3,61,0,0,0,61,0,0,1
16490,7,4,"$54,000",5,37,2,0,0,37,0,2,1
16494,7,1,"$22,000",4,56,0,0,0,56,1,1,1
16499,7,3,"$18,000",2,76,0,0,0,76,0,1,1
16500,7,3,"$67,000",5,38,1,0,0,35,1,3,1
16501,7,3,"$104,000",6,37,1,0,0,37,0,3,1
16503,7,2,"$35,800",7,76,0,0,0,76,1,2,1
16511,7,3,"$68,500",6,54,1,0,0,54,0,2,1
16512,7,4,"$125,000",7,31,2,0,0,31,0,3,1
16516,7,1,"$40,000",7,32,0,0,0,32,0,1,1
16518,7,2,"$25,000",5,44,0,0,0,44,1,3,1
16522,7,2,"$65,832",5,33,1,0,0,33,0,2,1
16523,7,1,"$10,800",6,73,0,0,0,73,1,1,1
16529,7,1,"$25,004",6,70,0,0,0,70,0,1,1
16532,7,4,"$24,000",4,34,2,0,0,34,1,1,1
16540,7,4,"$40,000",6,36,1,0,0,36,1,1,1
16543,7,2,"$30,000",3,36,0,0,0,36,0,1,1
16544,7,3,"$30,992",4,37,1,0,0,37,0,2,0
16545,7,2,"$55,095",5,59,0,0,0,59,1,2,1
16547,7,5,"$9,600",4,37,2,0,0,37,1,3,1
16551,7,4,"$24,000",6,41,2,0,0,41,2,1,1
16552,7,5,"$45,000",3,36,3,0,0,36,0,2,1
16555,7,3,"$11,385",4,35,1,0,0,35,0,0,0
16558,7,4,"$48,000",3,46,1,0,0,46,0,2,1
16561,7,6,"$33,000",4,32,4,0,0,32,0,2,0
16564,7,2,"$42,000",9,49,0,0,0,49,1,2,1
16568,7,3,"$85,000",10,33,1,0,0,33,0,2,1
16585,7,3,"$101,000",8,45,0,0,0,45,1,3,1
16586,7,2,"$21,000",2,58,0,0,0,58,0,1,0
16589,7,2,"$39,500",5,28,0,1,0,28,0,2,1
16592,7,1,"$20,000",3,77,0,0,0,77,0,0,1
16595,7,1,"$14,304",6,64,0,0,0,64,0,2,1
16600,7,3,"$100,000",7,45,0,1,0,45,1,4,1
16604,7,5,"$38,000",6,30,3,0,0,30,1,5,1
16605,7,4,"$43,733",9,38,2,1,0,38,0,4,0
16614,7,4,"$46,800",3,27,2,0,0,27,0,2,0
16622,7,3,"$7,286",3,23,1,0,0,23,1,1,0
16626,7,3,"$38,000",3,20,3,0,0,20,0,1,0
16628,7,3,"$66,000",5,38,1,0,0,38,0,4,1
16630,7,2,"$8,500",4,58,0,0,0,58,2,0,0
16641,7,4,"$189,000",9,32,2,0,0,32,2,3,0
16647,7,1,"$25,000",6,77,0,0,0,77,0,1,1
16650,7,3,"$50,000",7,26,1,0,0,26,0,2,0
16651,7,1,"$10,000",6,84,0,0,0,84,0,1,0
16653,7,2,"$87,860",9,49,0,0,0,49,0,1,1
16654,7,1,"$44,000",10,45,0,0,0,45,0,1,1
16656,7,1,"$13,200",3,25,0,0,0,25,0,0,0
16661,7,5,"$80,000",9,38,3,0,0,38,0,2,1
16665,7,2,"$26,500",6,22,0,0,0,22,1,2,0
16671,7,3,"$29,100",4,27,2,0,0,27,0,2,1
16674,7,2,"$16,000",7,31,1,0,0,31,0,1,0
16680,7,4,"$95,068",4,36,2,2,0,36,0,4,1
16683,7,1,"$43,600",8,61,0,0,0,61,1,1,1
16685,7,3,"$64,200",6,35,1,0,0,35,0,2,1
16690,7,4,"$63,000",4,34,2,0,0,34,0,2,1
16691,7,1,"$16,288",2,65,0,0,0,65,0,0,1
16697,7,1,"$10,754",6,45,0,0,0,45,0,1,1
16701,7,3,"$81,407",7,39,1,0,0,39,0,3,1
16703,7,1,"$27,567",6,74,0,0,0,74,1,1,1
16704,7,2,"$55,000",5,54,0,0,0,54,1,3,1
16706,7,2,"$105,000",7,52,0,0,1,52,0,4,1
16709,7,3,"$15,864",4,29,1,0,0,29,0,2,1
16710,7,1,"$11,800",3,70,0,0,0,70,0,1,0
16711,7,4,"$10,000",6,21,3,0,0,19,0,3,0
16719,7,1,"$20,000",6,22,0,0,0,22,0,1,0
16721,7,3,"$63,600",7,70,0,0,0,70,1,2,1
16725,7,3,"$75,000",3,47,1,0,0,47,0,2,1
